nombre,categoria,lat,lon,imagen,descripcion
Morro de Arica,Cultura,-18.477,-70.330,https://upload.wikimedia.org/wikipedia/commons/2/2c/Morro_de_Arica.jpg,Icono histórico con vista panorámica de la ciudad.
Playa El Laucho,Playas,-18.486,-70.318,https://upload.wikimedia.org/wikipedia/commons/7/7a/Playa_El_Laucho.jpg,Playa popular de ambiente tranquilo y aguas cálidas.
Playa Chinchorro,Playas,-18.462,-70.306,https://upload.wikimedia.org/wikipedia/commons/2/2e/Playa_Chinchorro%2C_Arica.jpg,Playa urbana extensa ideal para caminatas y deporte.
Cuevas de Anzota,Cultura,-18.534,-70.330,https://upload.wikimedia.org/wikipedia/commons/7/7c/Cuevas_de_Anzota_Arica.jpg,Sendero costero con cuevas naturales y miradores.
Museo Sitio Colón 10,Cultura,-18.476,-70.340,https://upload.wikimedia.org/wikipedia/commons/4/40/Col%C3%B3n_10_Arica.jpg,Museo arqueológico donde se encontraron restos Chinchorro.
Museo de Arqueología San Miguel de Azapa,Cultura,-18.518,-70.183,https://upload.wikimedia.org/wikipedia/commons/4/41/Museo_San_Miguel_de_Azapa.jpg,Colección Chinchorro y cultura prehispánica.
Humedal del Río Lluta,Naturaleza,-18.422,-70.300,https://upload.wikimedia.org/wikipedia/commons/6/63/Humedal_R%C3%ADo_Lluta.jpg,Área protegida con biodiversidad de aves.
Parque Nacional Lauca,Naturaleza,-18.24,-69.15,https://upload.wikimedia.org/wikipedia/commons/3/38/Lago_Chungar%C3%A1_y_Volc%C3%A1n_Parinacota.jpg,Altiplano andino con lagos, volcanes y fauna.
Laguna Cotacotani,Naturaleza,-18.19,-69.15,https://upload.wikimedia.org/wikipedia/commons/7/74/Laguna_Cotacotani.jpg,Conjunto de lagunas altoandinas rodeadas de bofedales.
Volcán Parinacota,Naturaleza,-18.17,-69.13,https://upload.wikimedia.org/wikipedia/commons/d/d7/Volcan_Parinacota_Chile.jpg,Volcán simétrico y uno de los paisajes más icónicos del altiplano.
Lago Chungará,Naturaleza,-18.23,-69.14,https://upload.wikimedia.org/wikipedia/commons/2/22/Lake_Chungara_Chile.jpg,Lago altoandino a más de 4.500 m.s.n.m.
Putre,Cultura,-18.19,-69.56,https://upload.wikimedia.org/wikipedia/commons/6/64/Putre.jpg,Pueblo andino con arquitectura tradicional y miradores.
Termas de Jurasi,Naturaleza,-18.23,-69.50,https://upload.wikimedia.org/wikipedia/commons/5/52/Termas_de_Jurasi.jpg,Termas naturales en la precordillera andina.
Pukará de Copaquilla,Cultura,-18.33,-69.64,https://upload.wikimedia.org/wikipedia/commons/7/7c/Pukar%C3%A1_de_Copaquilla.jpg,Fortaleza prehispánica con miradores naturales.
Mirador de Lluta,Miradores,-18.482,-70.295,https://upload.wikimedia.org/wikipedia/commons/0/00/Mirador_Lluta.jpg,Mirador con vista panorámica del valle.
Punta Cututa,Naturaleza,-18.470,-70.364,https://upload.wikimedia.org/wikipedia/commons/2/2b/Punta_Cututa.jpg,Acantilados y formaciones rocosas costeras.
Playa Brava,Playas,-18.506,-70.324,https://upload.wikimedia.org/wikipedia/commons/8/8c/Playa_Brava_Arica.jpg,Playa ventosa ideal para deportes acuáticos.
Mirador Las Machas,Miradores,-18.454,-70.315,https://upload.wikimedia.org/wikipedia/commons/f/f6/Playa_Las_Machas.jpg,Mirador elevado con vista al océano.
Iglesia San Marcos,Cultura,-18.474,-70.337,https://upload.wikimedia.org/wikipedia/commons/3/34/Catedral_San_Marcos_de_Arica.jpg,Iglesia construida por Gustave Eiffel en el centro histórico.
Parque Centenario,Cultura,-18.476,-70.334,https://upload.wikimedia.org/wikipedia/commons/e/e0/Parque_Centenario_Arica.JPG,Plaza urbana con áreas verdes y eventos al aire libre.
